sample	gene	is_MET_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010004	CDK4	TRUE	7	0.724558920262939	0.734445365076753	0.786312543747454	0.696420767484028	1.44911784052588	1.46889073015351	1.57262508749491	1.39284153496806	0.12802021445911	0.892721449610701
A269010004	CREBBP	TRUE	29	0.993264517429079	0.985610285439911	1.07789618551501	0.809180251761623	1.98652903485816	1.97122057087982	2.15579237103001	1.61836050352325	0.0408506396041389	1.3888011392693
A269010004	DDR2	TRUE	7	0.829498345669852	0.815520186445894	0.867223808741697	0.764560788734169	1.6589966913397	1.63104037289179	1.73444761748339	1.52912157746834	4.33858765618887e-07	6.3626516237015
A269010004	EGFR	TRUE	29	0.904801826891078	0.913044830882791	1.0547344344918	0.805536340073244	1.80960365378216	1.82608966176558	2.1094688689836	1.61107268014649	4.7964063388272e-19	18.3190840317377
A269010004	ERBB2	TRUE	21	0.849553023635741	0.913892650453827	1.29406795616687	0.726062530280214	1.69910604727148	1.82778530090765	2.58813591233373	1.45212506056043	2.07773780276757e-10	9.68240925850925
A269010004	FGFR3	TRUE	16	1.13285025764717	1.12190790869949	1.16847285231221	1.04955435344079	2.26570051529434	2.24381581739898	2.33694570462442	2.09910870688158	0.00172896095593929	2.76221481402022
A269010004	GATA3	TRUE	7	0.985357039068544	0.996971298627107	1.09615985304231	0.883343457161478	1.97071407813709	1.99394259725421	2.19231970608462	1.76668691432296	0.0463347882416808	1.33409281744226
A269010004	MDM2	TRUE	13	0.940064167427399	0.950915458242959	1.03166420739928	0.865044296331092	1.8801283348548	1.90183091648592	2.06332841479856	1.73008859266218	3.53598419136037e-08	7.45148968529367
A269010004	MET	TRUE	25	0.964622830404166	0.930409297725146	1.04857848175558	0.692089085382325	1.92924566080833	1.86081859545029	2.09715696351117	1.38417817076465	5.44253143732875e-57	56.2641990536936
A269010004	NBN	TRUE	17	0.691876429970142	0.717575320074669	0.909139258928906	0.601469159435865	1.38375285994028	1.43515064014934	1.81827851785781	1.20293831887173	0.00246105755411513	2.60887822979889
A269010004	NTRK1	TRUE	8	0.817118830436862	0.824680889661706	0.849714140968642	0.803881142404456	1.63423766087372	1.64936177932341	1.69942828193728	1.60776228480891	0.00378129506766274	2.42235943179966
A269010004	Other	TRUE	284	1.08484938206031	1.74609777762318	105.600289716585	0.760026715342155	2.16969876412062	3.49219555524637	211.200579433171	1.52005343068431	5.00665036993453e-22	21.3004527356851
A269010004	PTEN	TRUE	9	1.01532509724237	1.01871246768627	1.08179393183848	0.889968890271553	2.03065019448474	2.03742493537255	2.16358786367695	1.77993778054311	0.143187548061465	0.844094747693849
A269010004	RET	TRUE	12	1.06744233425824	1.07181523550933	1.16225886188816	0.997783036969753	2.13488466851648	2.14363047101865	2.32451772377632	1.99556607393951	0.0681397353631456	1.16659955745069
