sample	gene	is_target_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010004	NTRK1	FALSE	8	0.984404165435479	0.997211868121861	1.0647848019971	0.961838242655457	1.96880833087096	1.99442373624372	2.1295696039942	1.92367648531091	0.761826450707569	0.118143952655756
A269010004	Other	FALSE	281	1.00384475543544	1.16899432835242	38.7814939504471	0.859824985199926	2.00768951087089	2.33798865670484	77.5629879008942	1.71964997039985	0.0941733622416937	1.0260719238253
A269010004	PTEN	FALSE	9	0.980531806440478	0.988952982297151	1.06926281451757	0.942965922916979	1.96106361288096	1.9779059645943	2.13852562903513	1.88593184583396	0.229116026932803	0.639944530343434
A269010004	RET	FALSE	12	0.983111268617719	0.983228626975648	1.04269418892127	0.930336260948704	1.96622253723544	1.9664572539513	2.08538837784254	1.86067252189741	0.11342736581369	0.945282153661101
A269010004	TSC2	FALSE	29	1.00287941904681	1.01026296420347	1.05264111142116	0.957790150966231	2.00575883809363	2.02052592840694	2.10528222284231	1.91558030193246	0.375959800613095	0.424858589394789
A269010005	CCND1	TRUE	5	1.01623459022875	0.994614639065352	1.0629213796331	0.878914947683773	2.03246918045749	1.9892292781307	2.1258427592662	1.75782989536755	2.32763640614853e-05	4.63308485870248
A269010005	CDK4	TRUE	7	1.03738931886411	0.984499510006379	1.10945405134556	0.749243197603844	2.07477863772822	1.96899902001276	2.21890810269112	1.49848639520769	0.162317703480543	0.789634110459576
A269010005	CREBBP	TRUE	45	0.863343145511539	0.861781564205167	0.996250193847657	0.697875859704223	1.72668629102308	1.72356312841033	1.99250038769531	1.39575171940845	1e-100	100
A269010005	DDR2	TRUE	7	1.02188297540333	1.02171133838624	1.10046593961532	0.968574632949069	2.04376595080666	2.04342267677249	2.20093187923065	1.93714926589814	0.736041309174368	0.133097810875771
A269010005	EGFR	TRUE	29	0.878694312288256	0.868219422271505	0.95120157607116	0.780638314936509	1.75738862457651	1.73643884454301	1.90240315214232	1.56127662987302	2.56392691787887e-34	33.5910943580979
